Question_ID,Question,Answer,Source_References
Q016,"What is the noise level of GreenPower systems?","GreenPower operates whisper-quiet: PG-M02 at <20dB (library level), PG-C01 at <25dB, PG-P01 at <30dB, PG-M01 at <35dB, and PG-U01 at <45dB. This is 70-80% quieter than diesel generators (85-100dB), eliminating noise pollution complaints at events and residential areas.","[Source: greenpower.com/specifications/noise] [Document: Acoustic_Testing_Report_TUV_2024.pdf] [Comparison: Diesel_vs_Solar_Noise_Analysis.pdf]"
Q017,"Can GreenPower supply three-phase power?","Yes, models PG-U01, PG-M01, and PG-P01 provide three-phase power (400V) suitable for industrial equipment, large motors, and heavy machinery. They can also operate in single-phase mode (230V). The PG-C01 and PG-M02 are single-phase only, designed for lighter loads.","[Source: greenpower.com/technical-specs] [Document: Three_Phase_Configuration_Guide.pdf] [Diagram: Electrical_Schematics_PG-M01.pdf]"
Q018,"How much CO2 can I avoid by using GreenPower?","CO2 reduction depends on your current diesel consumption. A PG-M01 replacing a 100kVA diesel generator running 8h/day saves approximately 48 tonnes of CO2 annually. The PG-U01 can save up to 150 tonnes/year. Use our calculator to estimate your specific savings.","[Source: greenpower.com/environmental-impact] [Document: Carbon_Footprint_Reduction_Study_2024.pdf] [Tool: greenpower.com/co2-calculator]"
Q019,"What training do you provide for operators?","Every installation includes operator training (2-4 hours) covering: basic operation, safety procedures, monitoring systems, troubleshooting, and emergency protocols. Advanced training packages available for fleet managers and rental companies. All training materials available in French and English.","[Source: greenpower.com/training-programs] [Document: Operator_Training_Manual_v2.0.pdf] [Certificate: Training_Completion_Template.pdf]"
Q020,"Can GreenPower be connected to the grid?","Models PG-P01 and above support grid-tie functionality, allowing you to sell excess solar production back to the grid or use grid power when solar/battery is insufficient. This requires additional hardware (grid-tie inverter) and approval from your electricity provider (ENEDIS in France).","[Source: greenpower.com/grid-connection] [Document: Grid_Tie_Installation_Procedure.pdf] [Regulation: ENEDIS_Connection_Requirements_2024.pdf]"
Q021,"What happens if there's a technical problem during my rental?","All rentals include 24/7 technical support via phone and remote monitoring. Most issues are resolved remotely within 1 hour. For on-site issues, we dispatch technicians within 4 hours (Île-de-France) or 24 hours (other regions). Backup equipment available for critical applications.","[Source: greenpower.com/support] [Document: Rental_Terms_2024.pdf, Section 7] [Contact: support@greenpower.com or +33 4 68 XX XX XX]"
Q022,"Is GreenPower suitable for cold weather operation?","Yes, our systems operate down to -10°C (PG-U01, PG-M01) or 0°C (PG-P01). Battery thermal management systems maintain optimal temperature. Solar panels actually perform better in cold, clear weather. For extreme cold (<-10°C), we recommend battery heating accessories or sheltered installation.","[Source: greenpower.com/winter-operation] [Document: Environmental_Operating_Conditions.pdf, Section 3.2] [Guide: Winter_Performance_Optimization.pdf]"
Q023,"How long do the batteries last?","Battery lifespan depends on usage and cycling. LiFePO4 batteries (PG-P01, PG-C01, PG-M02) typically last 3,000-5,000 cycles (7-10 years daily use). Reconditioned EV batteries (PG-U01, PG-M01) are warranted for 2,000-3,000 cycles (5-8 years). All batteries include BMS protection to maximize longevity.","[Source: greenpower.com/battery-life] [Document: Battery_Specifications_Technical_Guide.pdf, Chapter 5] [Warranty: Battery_Warranty_Terms_2024.pdf]"
Q024,"Can I use GreenPower for my food truck?","Absolutely! The PG-C01 (Compact) or PG-M02 (Mini) are perfect for food trucks. They provide silent, emission-free power for refrigeration, cooking equipment, lights, and POS systems. Many food truck operators report 70-85% reduction in generator costs plus the ability to operate in noise-restricted areas.","[Source: greenpower.com/food-truck-solutions] [Document: Food_Truck_Application_Guide.pdf] [Video: greenpower.com/videos/foodtruck-setup] [Testimonial: Customer_Stories_Mobile_Food.pdf]"
Q025,"What is the warranty on GreenPower systems?","Victron Energy converters: 5-year manufacturer warranty. Solar panels: 25-year power output warranty (manufacturer). Batteries: Per supplier specification (typically 3-5 years). Frame and enclosure: 2-year warranty. Extended warranties available through our maintenance contracts.","[Source: greenpower.com/warranty] [Document: Warranty_Terms_Complete_Systems.pdf] [Contact: warranty@greenpower.com]"
Q026,"Can GreenPower power sensitive medical equipment?","Yes, our pure sine wave inverters provide hospital-grade clean power suitable for medical devices, lab equipment, computers, and sensitive electronics. The PG-P01 and above include voltage regulation and surge protection. Many mobile medical units and emergency response teams use our systems.","[Source: greenpower.com/medical-applications] [Document: Clean_Power_Technical_Specifications.pdf] [Certification: Medical_Equipment_Compatibility_Testing.pdf]"
Q027,"Do you offer financing options for GreenPower?","Yes, we partner with multiple financing institutions offering: equipment loans (3-7 years), leasing options, and rent-to-own programs. Green energy tax credits and regional subsidies may cover 20-40% of costs. Our sales team can help structure the best financing for your situation.","[Source: greenpower.com/financing] [Document: Financing_Options_Guide_2024.pdf] [Contact: sales@greenpower.com or schedule at greenpower.com/consultation]"
Q028,"How does GreenPower perform compared to diesel generators?","GreenPower offers multiple advantages: 95-100% lower fuel costs, zero emissions, 70-80% quieter operation, minimal maintenance (no oil changes, filters), 24/7 autonomous operation, and lower total cost of ownership. Diesel remains better only for short-term, high-mobility applications under 4 hours/day.","[Source: greenpower.com/diesel-comparison] [Document: Total_Cost_Ownership_Analysis_2024.pdf] [Chart: Performance_Comparison_Matrix.pdf] [Study: Independent_Energy_Audit_Report.pdf]"
Q029,"Where is GreenPower manufactured and serviced?","GreenPower systems are assembled in our facility in Perpignan, France using European components: Victron Energy inverters (Netherlands), solar panels (Germany/France), and batteries (certified European suppliers). We service all of France with technician hubs in Paris, Lyon, Marseille, Toulouse, and Perpignan.","[Source: greenpower.com/about-us] [Document: Manufacturing_Quality_Process.pdf] [Map: greenpower.com/service-coverage] [Contact: Network of certified installers nationwide]"
Q030,"Can I see GreenPower in action before purchasing?","Yes! We offer multiple options: (1) Visit our demonstration center in Perpignan, (2) Schedule a mobile demo at your site, (3) Attend our presence at major trade shows (EnerGreen Expo, CleanPower Summit), (4) 1-week trial rental at 50% discount (credited toward purchase). Contact us to arrange your demo.","[Source: greenpower.com/demo-request] [Document: Demo_Center_Booking_Info.pdf] [Calendar: greenpower.com/events-calendar] [Promotion: Trial_Rental_Program_2025.pdf]"
